time_mode,backbone,mode,checkpoint,epoch,E,speed,p,nw,core
SP,PN,DATA,epoch_01000,1000,0.8110636427255044,0.11243983291289365,0.5148463939295846,-1.3915697665835403,0.12936274912629186
SP,PN,DATA,epoch_02500,2500,0.864308296765025,0.052612554574568385,0.5006717481309917,-1.4341372698915984,0.06762318596689994
SP,PN,DATA,epoch_05000,5000,0.9599533693967173,-0.02336628400283619,0.4626482892070956,-1.6155031143247214,-0.009148310521566885
SP,PN,DATA,epoch_07500,7500,1.0753114383379494,-0.08533724357198957,0.44079900440843084,-2.1181967871655365,-0.06176467233497508
SP,PN,DATA,last_converged,10000,1.124631063399834,-0.10515002268284679,0.4355916972741233,-2.395386389730474,-0.07574374288407724
SP,PN,DATA+BC,epoch_01000,1000,0.8836454922289565,-0.5372114680604178,0.3217636194171754,-0.1801396821189877,-0.572171566825062
SP,PN,DATA+BC,epoch_02500,2500,0.9128472693928207,-0.554266532680958,0.33800521907817827,-0.2121952417453459,-0.5892133391593163
SP,PN,DATA+BC,epoch_05000,5000,0.993834300974797,-0.4917582123689169,0.3854526462205389,-0.2052809819923465,-0.5243439910165527
SP,PN,DATA+BC,epoch_07500,7500,1.1033811677673881,-0.3323018924256294,0.3699209697966537,-0.44236601156619343,-0.35256847760339394
SP,PN,DATA+BC,last_converged,10000,1.1756203213854286,-0.28134476859688134,0.3678386975939439,-0.7416789278739305,-0.2931664733635023
SP,PN,BC+PDE-F,epoch_01000,1000,0.8608190433975464,-0.44992966691161507,0.34288462391973773,-0.144483873369729,-0.48222435705279887
SP,PN,BC+PDE-F,epoch_02500,2500,0.8699655826387264,-0.45801097862522266,0.36329740404276334,-0.16491029156056028,-0.49007220921498
SP,PN,BC+PDE-F,epoch_05000,5000,0.903222841846401,-0.522582815033062,0.3637907407219992,-0.21699777676953094,-0.556821148798137
SP,PN,BC+PDE-F,epoch_07500,7500,0.9370232461427985,-0.47848190927141315,0.37227260228237935,-0.2281827290143482,-0.5105020061822402
SP,PN,BC+PDE-F,last_converged,10000,0.968174907003359,-0.4241780768281623,0.3818260119633474,-0.25442314550863887,-0.4532962199572726
SP,PN,BC+PDE-EMA,epoch_01000,1000,0.884344391213171,-0.5828239763789946,0.11389399595182258,-0.23893511764209469,-0.6181506212677936
SP,PN,BC+PDE-EMA,epoch_02500,2500,0.868963159870809,-0.5016718190214375,0.12653934605992143,-0.16539288655335363,-0.5356521847194992
SP,PN,BC+PDE-EMA,epoch_05000,5000,0.8871400328844276,-0.5249577652900058,0.12437687721583894,-0.17966167186094267,-0.5595588402896297
SP,PN,BC+PDE-EMA,epoch_07500,7500,0.9096958537654334,-0.522254097330204,0.11928960696041944,-0.19713749307556883,-0.5572200126432014
SP,PN,BC+PDE-EMA,last_converged,10000,0.9346718391767949,-0.5134423078501464,0.11101649923752019,-0.2192668787905036,-0.5475997517913366
SP,PNPP,DATA,epoch_01000,1000,0.8025370979075098,0.14639092864268788,0.48399715518270514,-1.724316832556925,0.1708437599256301
SP,PNPP,DATA,epoch_02500,2500,0.8490530401915382,0.08508971806671059,0.48480627886154,-1.6308088061242574,0.10677422217195623
SP,PNPP,DATA,epoch_05000,5000,0.9384643665746422,-0.010671959939994508,0.4409552029555135,-1.5896671591401168,0.0068862830702514505
SP,PNPP,DATA,epoch_07500,7500,1.0529204819789404,-0.06791054975258154,0.443290337466187,-2.05505532353959,-0.0443048515136783
SP,PNPP,DATA,last_converged,10000,1.105441419099326,-0.09544989918660533,0.43945804991227316,-2.3850642435769966,-0.06694394716405005
SP,PNPP,DATA+BC,epoch_01000,1000,0.871220650756362,-0.474720491544864,0.4758420342986716,-0.1415991757348509,-0.5083821269329118
SP,PNPP,DATA+BC,epoch_02500,2500,0.8982481756865056,-0.5127176381856245,0.41633039632364227,-0.17300144517162344,-0.5472801171583577
SP,PNPP,DATA+BC,epoch_05000,5000,0.9855177223428033,-0.4731168305739268,0.3688116704614569,-0.22962377100966658,-0.504738232823875
SP,PNPP,DATA+BC,epoch_07500,7500,1.091705097853692,-0.3193833791666518,0.38587995625389554,-0.3938398301272225,-0.3407314704429421
SP,PNPP,DATA+BC,last_converged,10000,1.1533878846641727,-0.26976880577365403,0.3683569686518968,-0.5644451929684782,-0.2853326387420341
SP,PNPP,BC+PDE-F,epoch_01000,1000,0.8909783986179146,-0.5739849876383639,0.29472660389158767,-0.24183385194444926,-0.609404832772737
SP,PNPP,BC+PDE-F,epoch_02500,2500,0.8930105694328361,-0.5613712919321072,0.336049326209283,-0.2182649433656001,-0.5972569476192803
SP,PNPP,BC+PDE-F,epoch_05000,5000,0.8983145579638884,-0.5288128213680993,0.32488256391756426,-0.20428847180716822,-0.5638650211877165
SP,PNPP,BC+PDE-F,epoch_07500,7500,0.9344141713105927,-0.4992262551128504,0.3190453876173529,-0.25536698343160275,-0.5326461789381335
SP,PNPP,BC+PDE-F,last_converged,10000,0.964016292474089,-0.4535713822065756,0.3018432797260628,-0.29976955293116325,-0.48411069041932697
SP,PNPP,BC+PDE-EMA,epoch_01000,1000,0.874672682964379,-0.5199644874214516,0.11361060846166095,-0.1793224783623218,-0.5543873992355568
SP,PNPP,BC+PDE-EMA,epoch_02500,2500,0.8634747079320817,-0.4780671154017551,0.13609469636247135,-0.18030257909694836,-0.5111226412708182
SP,PNPP,BC+PDE-EMA,epoch_05000,5000,0.8842285076992528,-0.5381227606615193,0.13718068523264557,-0.26133047754926103,-0.5719531545177895
SP,PNPP,BC+PDE-EMA,epoch_07500,7500,0.9004971448859082,-0.5250522755930622,0.14186086273919585,-0.3097265788972553,-0.5578029194445852
SP,PNPP,BC+PDE-EMA,last_converged,10000,0.9095638528651414,-0.48222682875676404,0.14862495628899622,-0.3475757720709771,-0.5122882664657538
TR,PN,DATA,epoch_01000,1000,0.8899509604127468,0.3235569904242502,-19.625603578520057,nan,nan
TR,PN,DATA,epoch_02500,2500,0.9153587837957303,0.27636152523807245,-20.590640097891065,nan,nan
TR,PN,DATA,epoch_05000,5000,0.9512745506397715,0.1958792606362049,-19.86470955133376,nan,nan
TR,PN,DATA,epoch_07500,7500,1.0047056775959073,0.083831967656924,-20.183100276780877,nan,nan
TR,PN,DATA,last_converged,10000,1.0406081477840001,0.011459930784360377,-20.220741030661774,nan,nan
TR,PN,DATA+BC,epoch_01000,1000,0.8790454696015649,0.2069922535269655,-20.14013064333458,nan,nan
TR,PN,DATA+BC,epoch_02500,2500,0.8911525361111564,0.18974965504257243,-20.44404522961336,nan,nan
TR,PN,DATA+BC,epoch_05000,5000,0.9038494441425475,0.16173184240760904,-20.971346139662693,nan,nan
TR,PN,DATA+BC,epoch_07500,7500,0.9265774859996281,0.11995616516377662,-20.980533102536878,nan,nan
TR,PN,DATA+BC,last_converged,10000,0.9370369482200216,0.12240730156500751,-21.08438039346735,nan,nan
TR,PN,BC+PDE-F,epoch_01000,1000,0.8764505464430473,0.17643269356227703,-20.39282593189197,nan,nan
TR,PN,BC+PDE-F,epoch_02500,2500,0.8846770059738247,0.1687062864178381,-21.493385835326826,nan,nan
TR,PN,BC+PDE-F,epoch_05000,5000,0.873245782930323,0.21639295407360432,-20.10668431256118,nan,nan
TR,PN,BC+PDE-F,epoch_07500,7500,0.8886206307896964,0.16549727138746295,-19.92710583316523,nan,nan
TR,PN,BC+PDE-F,last_converged,10000,0.8941122826628026,0.17073324119829253,-19.97714901140655,nan,nan
TR,PN,BC+PDE-EMA,epoch_01000,1000,0.9537974037196337,0.024014016266567018,-19.70481996696497,nan,nan
TR,PN,BC+PDE-EMA,epoch_02500,2500,0.9734064252207836,-0.10947571774031427,-18.979990315929957,nan,nan
TR,PN,BC+PDE-EMA,epoch_05000,5000,0.9808367563094291,-0.04054519364940369,-31.596161743043904,nan,nan
TR,PN,BC+PDE-EMA,epoch_07500,7500,0.9671080392187983,-0.14348994603041057,-15.744104744615669,nan,nan
TR,PN,BC+PDE-EMA,last_converged,10000,0.9649479683398989,-0.13426583575910375,-21.60786630472137,nan,nan
TR,PNPP,DATA,epoch_01000,1000,0.904471071365556,0.32570038051661576,-20.772356631433183,nan,nan
TR,PNPP,DATA,epoch_02500,2500,0.9126457935375472,0.2699430779820787,-21.02245317357167,nan,nan
TR,PNPP,DATA,epoch_05000,5000,0.948208799333953,0.20565501373611308,-20.354695374681185,nan,nan
TR,PNPP,DATA,epoch_07500,7500,0.9985711028563166,0.10217139626330657,-20.24976064496182,nan,nan
TR,PNPP,DATA,last_converged,10000,1.0366201179272956,0.03307382979628684,-20.2904324928178,nan,nan
TR,PNPP,DATA+BC,epoch_01000,1000,0.8863262845468661,0.22396624392824702,-20.425831794627147,nan,nan
TR,PNPP,DATA+BC,epoch_02500,2500,0.8854213508104009,0.20034029868553788,-21.341901749463446,nan,nan
TR,PNPP,DATA+BC,epoch_05000,5000,0.9133628829233688,0.14018474002784562,-21.467140404129086,nan,nan
