epoch,global_step,cos_grad_data_no_slip,cos_grad_data_momentum,cos_grad_data_continuity,cos_grad_data_inlet_bc,cos_grad_data_rcr_bc,grad_norm_data,grad_norm_physics,gradient_norm,gradient_clip_flag,no_slip_raw,inlet_bc_raw,data_total,pde_total,loss_ratio_raw,lambda_phy,lambda_target,lambda_clamped_high,ema_data,ema_physics
0,50,-0.12103953957557678,-0.009218775667250156,-0.10023543238639832,-0.3334159553050995,0.0,0.2688489258289337,0.00847899354994297,3.687258243560791,True,1.2272355556488037,0.2889126241207123,0.5731381773948669,0.0001545868144603446,3707.5489225628053,1.0,1.0,False,1.3878910340968234,5.001033255162117e-05
0,100,-0.7760223150253296,-0.05933669954538345,-0.0180830005556345,0.8896755576133728,0.0,0.23446260392665863,0.0009035090915858746,1.1872421503067017,True,0.40487009286880493,0.261640727519989,0.6437515616416931,1.7731013940647244e-05,36306.528425085315,1.0,1.0,False,1.2067045903698228,7.413866436185477e-05
1,150,-0.8618432879447937,-0.09737637639045715,-0.016038285568356514,0.5800562500953674,0.0,0.7966211438179016,0.0037015664856880903,0.6122894287109375,False,0.4747152328491211,0.12718446552753448,1.5019930601119995,8.662052277941257e-05,17339.92144029156,1.0,1.0,False,1.280154244730465,9.07010858170594e-05
1,200,-0.9791371822357178,-0.06427047401666641,0.02349301055073738,0.9095879197120667,0.0,1.1478017568588257,0.0019103899830952287,1.3958091735839844,True,0.20394644141197205,0.3057323694229126,1.282317876815796,6.436627882067114e-05,19922.19995175457,1.0,1.0,False,1.2104362798639963,0.00019049353353409575
1,250,-0.07374834269285202,-0.039041534066200256,0.060404691845178604,0.48161351680755615,0.0,0.30779001116752625,0.0076773762702941895,1.5042201280593872,True,0.2580409049987793,0.3455117642879486,0.18195541203022003,0.0003359404217917472,541.630004093452,1.0,1.0,False,1.1420739637751187,0.0002996362598367578
2,300,-0.9017808437347412,-0.07608730345964432,0.07397285103797913,0.9529118537902832,0.0,1.0530465841293335,0.005197576712816954,1.3418562412261963,True,0.2094816267490387,0.2610339820384979,1.3600136041641235,0.0002877973602153361,4725.594436121764,1.0,1.0,False,1.0307137260585228,0.0006667115356520304
2,350,-0.8202058672904968,-0.13918304443359375,0.04726852849125862,0.6224904656410217,0.0,1.336635947227478,0.004725195933133364,1.5837266445159912,True,0.26743489503860474,0.2559475302696228,3.5316457748413086,0.0003240019432269037,10900.075905927642,1.0,1.0,False,1.124866223209302,0.000983755678421264
2,400,-0.9299469590187073,-0.19746306538581848,0.020309939980506897,0.866772472858429,0.0,0.965156078338623,0.01719186082482338,0.49711742997169495,False,0.32780951261520386,0.08631232380867004,0.9498745799064636,0.0014100481057539582,673.6469316403656,1.0,1.0,False,1.0690140733845708,0.0022411144387757256
3,450,-0.8561105728149414,-0.11736662685871124,0.12308449298143387,0.9089500904083252,0.0,0.434775710105896,0.17666438221931458,0.8285588026046753,False,0.18575650453567505,0.12884041666984558,0.2763863801956177,0.015293659642338753,18.071958357859195,1.0,1.0,False,1.0202310172402722,0.005164578452298985
3,500,-0.4782988131046295,-0.2928323447704315,-0.006089621689170599,0.6178600788116455,0.0,0.6351069211959839,0.048215411603450775,1.5840680599212646,True,0.19617944955825806,0.23565885424613953,1.0587843656539917,0.004620691761374474,229.13979558312826,1.0,1.0,False,1.1390809326548885,0.005891940461517556
3,550,-0.9455131888389587,-0.22339758276939392,0.09096913784742355,0.5457861423492432,0.0,0.5291032791137695,0.07678455114364624,1.1741914749145508,True,0.2272026538848877,0.18923231959342957,0.3654993772506714,0.007384298834949732,49.49682907208068,1.0,1.0,False,1.0406533263322737,0.010373373252673398
4,600,-0.9204965829849243,-0.17532479763031006,0.09830200672149658,0.767206072807312,0.0,1.0971747636795044,0.2294919192790985,1.4725736379623413,True,0.28746458888053894,0.05151449516415596,0.5946826338768005,0.023291204124689102,25.532498478531906,1.0,1.0,False,1.073322743516293,0.01157361277210892
